commit_hash,affected_libs_or_binary,affected_files,affected_functions,original_func_name_bindiff,func_addr_original,func_addr_patched,func_size_original,func_size_patched
39bbdebb1ed8eb9c9b0cd6db85afde6ba89d86e4,libavcodec,libavcodec/sanm.c,destroy_buffers,destroy_buffers,0x47a892,0x47a892,87,141
3f621455d62e46745453568d915badd5b1e5bcd5,libavfilter,libavfilter/vf_transpose.c,config_props_output,config_props_output_3,0x573980,0x573980,675,697
4ea4d2f438c9a7eba37980c9a87be4b34943e4d5,libavcodec,libavcodec/h264_slice.c,h264_slice_header_init,h264_slice_header_init; put_h264_qpel8_hv_lowpass_8; put_h264_qpel16_hv_lowpass_8,0x651b90; 0x68ba90; 0x6a4c10,0x651b90; 0x68bab0; 0x6a4c30,"1574, 1361, 161","1593, 1361, 161"
5257743aee0c3982f0079e6553aabc6aa39401d2,libavcodec,libavcodec/ws-snd1.c,ws_snd_decode_frame,ws_snd_decode_frame,0x878d50,0x878d50,1448,1418
550f3e9df3410b3dd975e590042c0d83e20a8da3,libavcodec,libavcodec/on2avc.c,on2avc_decode_init,on2avc_decode_init,0x46e022,0x46e022,994,1027
668494acd8b20f974c7722895d4a6a14c1005f1e,ffmpeg,ffmpeg.c,codec_get_buffer,codec_get_buffer,0x40da10,0x40da30,386,431
689e59b7ffed34eba6159dcc78e87133862e3746,libavformat,libavformat/mov.c,mov_read_dref,mov_read_dref,0x464ce0,0x464ce0,1207,1218
72b9537d8886f679494651df517dfed9b420cf1f,libavcodec,libavcodec/dfa.c,decode_dds1,decode_dds1,0x4e1100,0x4e1100,474,486
7c0b84d89911b2035161f5ef51aafbfcc84aa9e2,libavformat,libavformat/asfenc.c,asf_write_packet,asf_write_packet,0x444290,0x444290,1069,1095
7d57ca4d9a75562fa32e40766211de150f8b3ee7,libavformat,libavformat/rtmppkt.c,rtmp_packet_read_one_chunk,ff_rtmp_packet_read_internal,0x526840,0x526840,1067,1068
7e80b63ecd259d69d383623e75b318bf2bd491f6,libavformat,libavformat/cinedec.c,cine_read_header,cine_read_header,0x461010,0x461010,1882,1894
7edb984dd051b6919d7d8471c70499273f31b0fa,libavutil,libavutil/log.c,format_line,av_log_default_callback,0x415e60,0x415e60,1416,1419
89f903b3d5ec38c9c5d90fba7e626fa0eda61a32,libavcodec,libavcodec/sp5xdec.c,sp5x_decode_frame,sp5x_decode_frame,0x709500,0x709500,753,745
8a6449167a6da8cb747cfe3502ae86ffaac2ed48,libavcodec,libavcodec/utils.c,avcodec_decode_audio4,avcodec_decode_audio4,0x811470,0x811470,1197,1191
8b0e96e1f21b761ca15dbb470cd619a1ebf86c3e,libavcodec,libavcodec/mmvideo.c,mm_decode_intra,mm_decode_intra,0x774870,0x774870,550,570
91d5da9321c52e8197fb14046ebb335f3e6ff4a0,libavcodec,libavcodec/cavsdec.c,get_ue_code,decode_residual_block,0x4bc880,0x4bc880,1172,1191
944f5b2779e4aa63f7624df6cd4de832a53db81b,libavcodec,libavcodec/aacsbr.c,sbr_qmf_synthesis,sbr_qmf_synthesis,0x46f9b0,0x46f9b0,1456,1487
951cbea56fdc03ef96d07fbd7e5bed755d42ac8a,libavcodec,libavcodec/mpeg12.c,mpeg_decode_frame,mpeg_decode_frame,0x709350,0x709350,947,947
96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,libavformat,libavformat/rl2.c,rl2_read_header,rl2_read_header,0x4333b9,0x4333b9,905,943
9807d3976be0e92e4ece3b4b1701be894cd7c2e1,libavformat,libavformat/pva.c,read_part_of_packet,read_part_of_packet; pva_read_timestamp,0x531a80,0x531a80,"1172, 298","1177, 301"
9cb4eb772839c5e1de2855d126bf74ff16d13382,libavformat,libavformat/mov.c,read_tfra,mov_read_moof,0x4c5e50,0x4c5e50,1241,1319
9d00fb9d70ee8c0cc7002b89318c5be00f1bbdad,libavformat,libavformat/mxfdec.c,mxf_read_primer_pack,mxf_read_primer_pack,0x4fec10,0x4fec10,211,211
a1b9004b768bef606ee98d417bceb9392ceb788d,libavcodec,libavcodec/jpeg2000dec.c,get_cox,get_cox,0x6c0df0,0x6c0df0,597,639
a5d849b149ca67ced2d271dc84db0bc95a548abb,libavformat,libavformat/avidec.c,read_gab2_sub,read_gab2_sub,0x44e3a0,0x44e3a0,743,791
a6cba062051f345e8ebfdff34aba071ed73d923f,libavformat,libavformat/img2dec.c,svg_probe,svg_probe,0x4ac3b0,0x4ac3b0,159,170
abee0a1c60612e8638640a8a3738fffb65e16dbf,libavcodec,libavcodec/utils.c,,ff_get_buffer,0x96ae00,0x96ae00,381,389
ba775a54bc2136ec5da85385a923b05ee6fab159,libavcodec,libavcodec/indeo3.c,decode_cell_data,decode_cell_data,0x697df0,0x697df0,1528,1541
c24bcb553650b91e9eff15ef6e54ca73de2453b7,libavformat,libavformat/nsvdec.c,nsv_parse_NSVf_header,nsv_read_header,0x50e760,0x50e760,1115,1096
c2a2ad133eb9d42361804a568dee336992349a5e,libavformat,libavformat/rtpdec_asf.c,asfrtp_parse_packet,asfrtp_parse_packet,0x48e660,0x48e660,609,620
c42a1388a6d1bfd8001bf6a4241d8ca27e49326d,libavformat,libavformat/rtpdec_h264.c,sdp_parse_fmtp_config_h264,sdp_parse_fmtp_config_h264,0x5395d0,0x5395d0,554,569
c5cbda50793e311aa73489d12184ffd6761c9fbf,libavcodec,libavcodec/cavsdec.c,get_ue_code,decode_residual_block,0x4bd2d0,0x4bd2d0,1172,1191
c94f9e854228e0ea00e1de8769d8d3f7cab84a55,libavutil,libavutil/mem.c,av_reallocp_array,av_reallocp_array,0x4192c0,0x4192c0,62,71
cc0dd86580b3257f22a4981a79eb5fa6804182b6,libavutil,libavutil/log.c,format_line,av_log_default_callback,0x412e70,0x412e70,1374,1369
cca9528524c7a4b91451f4322bd50849af5d057e,libavcodec,libavcodec/mpegaudiodec.c,decode_frame_mp3on4,decode_frame_mp3on4; decode_frame_mp3on4_0,0x7267f0; 0x72c390,0x7267f0; 0x72c3a0,"925, 929","933, 937"
cdd5df8189ff1537f7abe8defe971f80602cc2d2,libavfilter,libavfilter/vf_fps.c,filter_frame,filter_frame_45,0x45a170,0x45a170,1441,1480
d1c95d2ce39560e251fdb14f4af91b04fd7b845c,libavcodec,libavcodec/dfa.c,decode_wdlt,decode_wdlt,0x4e1810,0x4e1810,664,666
d4a731b84a08f0f3839eaaaf82e97d8d9c67da46,libavcodec,libavcodec/faxcompr.c,decode_uncompressed,decode_uncompressed,0x5c07d0,0x5c07d0,700,711
df91aa034b82b77a3c4e01791f4a2b2ff6c82066,libavcodec,libavcodec/ivi.c,ff_ivi_init_planes,ff_ivi_init_planes,0x46b260,0x46b260,542,544
e1b60aad77c27ed5d4dfc11e5e6a05a38c70489d,libavcodec,libavcodec/cdxl.c,cdxl_decode_frame,cdxl_decode_frame,0x582920,0x582920,1817,1831
e8714f6f93d1a32f4e4655209960afcf4c185214,libavcodec,libavcodec/h264.c,ff_h264_free_tables,ff_h264_free_tables,0x5bfcf0,0x5bfcf0,791,846
f0bf9e9c2a65e9a2b9d9e4e94f99acb191dc7ae7,libavcodec,libavcodec/ivi_common.c,ff_ivi_process_empty_tile,ff_ivi_process_empty_tile,0x6b17e0,0x6b17e0,828,931
f1a38264f20382731cf2cc75fdd98f4c9a84a626,libavcodec,libavcodec/pthread_frame.c,ff_frame_thread_init,ff_thread_init; ff_frame_thread_init,0x861960; 0x8629b0,0x861960; 0x8629b0,"224, 1059","224, 1083"
f7068bf277a37479aecde2832208d820682b35e6,libavcodec,libavcodec/alac.c,allocate_buffers,allocate_buffers; init_thread_copy,0x4ed5a0; 0x4ed700,0x4ed5a0; 0x4ed730,"334, 20","382, 20"
ffcc82219cef0928bed2d558b19ef6ea35634130,libavformat,libavformat/rtmppkt.c,ff_amf_tag_size,ff_amf_get_field_value,0x52ec70,0x52ec70,452,1287
